genus,n_species,n_negative,n_positive,q25,median_pct,q75,prop_positive,iqr_pct,composition
methylovorus,3.0,3.0,0.0,1.5270000000000001,1.5270000000000001,1.5270000000000001,0.0,0.0,PCuAC only
hahella,3.0,3.0,0.0,0.758,0.758,1.1425,0.0,0.38450000000000006,PCuAC only
novilysobacter,3.0,0.0,3.0,0.7875,0.7939999999999999,0.7939999999999999,1.0,0.00649999999999995,Both proteins
halarcobacter,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
limimaricola,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
geopseudomonas,3.0,3.0,0.0,0.7065,0.709,0.709,0.0,0.0024999999999999467,PCuAC only
litorimonas,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
oceanibaculum,3.0,3.0,0.0,0.714,0.714,0.7164999999999999,0.0,0.0024999999999999467,PCuAC only
methylotenera,3.0,1.0,2.0,0.7324999999999999,0.735,0.7464999999999999,0.6666666666666666,0.014000000000000012,Mixed
loktanella,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
nisaea,3.0,3.0,0.0,0.7244999999999999,0.73,1.134,0.0,0.4095,PCuAC only
halocynthiibacter,3.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,Mixed
inquilinus,3.0,3.0,0.0,0.7195,0.7250000000000001,0.7250000000000001,0.0,0.00550000000000006,PCuAC only
hansschlegelia,3.0,3.0,0.0,0.7095,0.7250000000000001,1.077,0.0,0.36749999999999994,PCuAC only
zwartia,3.0,3.0,0.0,0.719,0.719,0.722,0.0,0.0030000000000000027,PCuAC only
pontivivens,3.0,3.0,0.0,0.338,0.676,0.714,0.0,0.37599999999999995,PCuAC only
tropicibacter,3.0,3.0,0.0,0.0,0.0,0.376,0.0,0.376,PCuAC only
telluria,3.0,3.0,0.0,0.766,0.769,0.769,0.0,0.0030000000000000027,PCuAC only
cypionkella,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
allorhizobium,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,PCuAC only
crenobacter,3.0,3.0,0.0,0.7015,0.7040000000000001,0.7310000000000001,0.0,0.02950000000000008,PCuAC only
