species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
rubrilithobacter danxiaensis,3390805,Rubrilithobacter danxiaensis,1,0,nirK_only,WP_423146016.1,NA,1
flavobacterium calami,3139144,Flavobacterium calami,1,0,nirK_only,WP_423972141.1,NA,1
cricetibacter osteomyelitidis,1521931,Cricetibacter osteomyelitidis,1,0,nirK_only,WP_424276105.1,NA,1
unclassified gordonia,2657482;3698342;84139,Gordonia sp. (in: high G+C Gram-positive bacteria);unclassified Gordonia (in: high G+C Gram-positive bacteria);Gordonia sp. 34D,1,0,nirK_only,WP_424322099.1,NA,1
methylocystis parvus,134,Methylocystis parvus,1,0,nirK_only,WP_424362659.1,NA,1
cauispirillum nitrogeniifigens,3398612,Cauispirillum nitrogeniifigens,1,0,nirK_only,WP_425008099.1,NA,1
ammonicoccus fulvus,3138240,Ammonicoccus fulvus,1,0,nirK_only,WP_425309872.1,NA,1
flavobacterium denitrificans,1121888;281361,Flavobacterium denitrificans;Flavobacterium denitrificans DSM 15936,1,0,nirK_only,WP_425337362.1,NA,1
kocuria gwangalliensis,501592,Kocuria gwangalliensis,1,0,nirK_only,WP_425559516.1,NA,1
prosthecobacter algae,1144682,Prosthecobacter algae,1,0,nirK_only,WP_425572120.1,NA,1
ornithinimicrobium carbonis,3416666,Ornithinimicrobium carbonis,1,0,nirK_only,WP_425942445.1,NA,1
janthinobacterium algoris,1259339;2804596;29580,Janthinobacterium;Janthinobacterium algoris;Janthinobacterium sp. DSP2-3-3,1,0,nirK_only,WP_426072016.1,NA,1
dyella kyungheensis,1242174,Dyella kyungheensis,1,0,nirK_only,WP_426270853.1,NA,1
unclassified pseudoduganella,2637179;3404060;3404061;3404063,unclassified Pseudoduganella;Pseudoduganella sp. R-31;Pseudoduganella sp. R-32;Pseudoduganella sp. R-43,1,0,nirK_only,WP_426323080.1,NA,1
rhodanobacter aciditrophus,1623218,Rhodanobacter aciditrophus,1,0,nirK_only,WP_426663952.1,NA,1
rhodanobacter ginsengiterrae,2008451,Rhodanobacter ginsengiterrae,1,0,nirK_only,WP_426687220.1,NA,1
microbacterium alcoholitolerans,3421635,Microbacterium alcoholitolerans,1,0,nirK_only,WP_428906143.1,NA,1
microbacterium luticellae,3421634,Microbacterium luticellae,1,0,nirK_only,WP_428931334.1,NA,1
flavobacterium galactosidilyticum,2893886,Flavobacterium galactosidilyticum,1,0,nirK_only,WP_428979017.1,NA,1
